催化剂组合编号,温度,乙醇转化率(%),乙烯选择性（%）,C4烯烃选择性(%),乙醛选择性(%),碳数为4-12脂肪醇         选择性(%),甲基苯甲醛和甲基苯甲醇选择性(%),其他生成物的选择性(%)
A1,250.0,2.06716944958221,1.17,34.05,2.41,52.59,0.0,9.78
A1,275.0,5.8517209865374,1.63,37.43,1.42,53.21,0.0,6.31
A1,300.0,14.9688914921879,3.02,46.94,4.71,35.16,1.0,9.17
A1,325.0,19.6813590966625,7.97,49.7,14.69,15.16,2.13,10.35
A1,350.0,36.801016971268,12.46,47.21,18.66,9.22,1.69,10.76
A2,250.0,4.60299723489029,0.61,18.07,0.94,72.99,0.0,7.39
A2,275.0,17.1955389078373,0.51,17.28,1.43,72.62,0.0,8.16
A2,300.0,38.9222453049932,0.85,19.6,2.21,67.5,0.0,9.84
A2,325.0,56.3824602331247,1.43,30.62,3.79,51.21,0.0,12.95
A2,350.0,67.8792957456246,2.76,39.1,4.2,36.92,1.87,15.15
A3,250.0,9.6693729570379,0.13,5.5,1.23,85.09,3.97,4.08
A3,275.0,19.2369353731673,0.33,8.04,1.71,82.07,2.88,4.97
A3,300.0,29.2502335391358,0.71,17.01,3.63,66.9,3.18,8.57
A3,325.0,37.5791851341654,1.83,28.72,5.72,49.77,3.44,10.52
A3,350.0,48.9370446484212,2.85,36.85,7.23,38.29,3.51,11.27
A3,400.0,83.7133815760754,6.76,53.43,8.95,14.37,3.38,13.11
A3,450.0,86.4097027402944,14.84,49.9,8.39,12.41,2.09,12.37
A4,250.0,4.0193913236899,0.27,9.62,1.49,79.51,6.53,2.58
A4,275.0,12.0977578656973,0.36,8.62,1.66,81.44,5.18,2.74
A4,300.0,29.4765641102885,0.54,10.72,2.41,76.32,5.88,4.13
A4,325.0,43.3256219763485,1.02,18.89,4.42,59.65,7.64,8.38
A4,350.0,60.4684283526454,2.23,27.25,6.8,45.0,8.73,9.99
A4,400.0,88.4393444439815,3.67,41.02,10.82,16.47,10.51,17.51
A5,250.0,14.7871833611187,0.14,1.96,3.27,88.42,3.36,2.85
A5,275.0,12.4240108083889,0.19,6.65,11.27,70.05,5.77,6.07
A5,300.0,20.8085764699292,0.74,10.12,13.18,62.45,5.66,7.85
A5,325.0,28.3488858758218,1.14,13.86,15.83,56.28,2.92,9.97
A5,350.0,36.8115789475551,3.11,18.75,16.16,48.0,4.36,9.62
A5,400.0,76.0198321376534,6.38,38.23,9.64,25.72,3.71,16.32
A6,250.0,13.3893967283351,0.2,3.3,11.59,80.23,1.04,3.64
A6,275.0,12.780990768999,0.38,7.1,26.67,55.7,2.02,8.13
A6,300.0,25.479216201846,1.46,7.18,28.51,51.07,2.12,9.66
A6,350.0,55.7550272411716,14.49,10.65,42.75,19.83,3.74,8.54
A6,400.0,83.3476161758825,6.18,37.33,16.08,19.48,7.61,13.32
A7,250.0,19.6562914186116,0.18,5.75,3.69,87.26,0.0,3.12
A7,275.0,29.044956254083,0.31,6.56,3.27,84.43,0.0,5.43
A7,300.0,39.9843661922415,0.57,8.84,3.98,79.99,0.0,6.62
A7,350.0,58.6049967786163,2.28,18.64,8.23,45.04,3.24,22.57
A7,400.0,76.0274161977392,8.31,33.25,5.79,24.57,6.76,21.32
A8,250.0,6.26573693340327,0.14,5.63,1.59,86.5,0.0,6.14
A8,275.0,8.76156996024858,0.2,8.52,4.31,82.26,0.0,4.71
A8,300.0,13.1790478809351,0.52,13.82,4.6,72.79,0.0,8.27
A8,350.0,31.7206628928351,1.45,25.89,4.15,48.52,2.25,17.74
