Co/SiO2质量(mg),装料比,Co负载量,乙醇浓度,温度,乙醇转化率(%),乙烯选择性（%）,C4烯烃选择性(%),乙醛选择性(%),碳数为4-12脂肪醇选择性(%),甲基苯甲醛和甲基苯甲醇选择性(%),其他生成物的选择性(%),C4烯烃收率(%)
200.0,1.0,1.0,1.68,250.0,2.06716944958221,1.17,34.05,2.41,52.59,0.0,9.78,0.7038711975827424
200.0,1.0,1.0,1.68,275.0,5.8517209865374005,1.63,37.43,1.42,53.21,0.0,6.31,2.190299165260949
200.0,1.0,1.0,1.68,300.0,14.9688914921879,3.02,46.94,4.71,35.16,1.0,9.17,7.026397666433001
200.0,1.0,1.0,1.68,325.0,19.6813590966625,7.97,49.7,14.69,15.16,2.13,10.35,9.781635471041263
200.0,1.0,1.0,1.68,350.0,36.801016971268,12.46,47.21,18.66,9.22,1.69,10.76,17.37376011213562
200.0,1.0,2.0,1.68,250.0,4.60299723489029,0.61,18.07,0.94,72.99,0.0,7.39,0.8317616003446753
200.0,1.0,2.0,1.68,275.0,17.1955389078373,0.51,17.28,1.43,72.62,0.0,8.16,2.9713891232742857
200.0,1.0,2.0,1.68,300.0,38.922245304993204,0.85,19.6,2.21,67.5,0.0,9.84,7.628760079778669
200.0,1.0,2.0,1.68,325.0,56.382460233124704,1.43,30.62,3.79,51.21,0.0,12.95,17.264309323382786
200.0,1.0,2.0,1.68,350.0,67.8792957456246,2.76,39.1,4.2,36.92,1.87,15.15,26.54080463653922
200.0,1.0,1.0,0.9,250.0,9.6693729570379,0.13,5.5,1.23,85.09,3.97,4.08,0.5318155126370846
200.0,1.0,1.0,0.9,275.0,19.2369353731673,0.33,8.04,1.71,82.07,2.88,4.97,1.5466496040026507
200.0,1.0,1.0,0.9,300.0,29.2502335391358,0.71,17.01,3.63,66.9,3.18,8.57,4.975464725007
200.0,1.0,1.0,0.9,325.0,37.5791851341654,1.83,28.72,5.72,49.77,3.44,10.52,10.792741970532301
