Co/SiO2质量(mg),装料比,Co负载量,乙醇浓度,温度,乙醇转化率(%),乙烯选择性（%）,C4烯烃选择性(%),乙醛选择性(%),碳数为4-12脂肪醇选择性(%),甲基苯甲醛和甲基苯甲醇选择性(%),其他生成物的选择性(%),C4烯烃收率(%)
50.0,1.0,1.0,1.68,250.0,1.4081818261584398,0.1,6.32,5.7,83.4,0.0,4.48,0.0889970914132134
50.0,1.0,1.0,1.68,275.0,3.41791391326378,0.19,8.25,4.03,81.35,0.0,6.18,0.2819778978442618
50.0,1.0,1.0,1.68,300.0,6.7237257615292405,0.45,12.28,4.11,73.45,0.0,9.71,0.8256735235157907
50.0,1.0,1.0,1.68,350.0,19.30926262512289,1.22,25.97,4.4,48.32,2.44,17.65,5.014615503744416
50.0,1.0,1.0,1.68,400.0,43.595444389466,3.77,41.08,4.13,26.79,1.95,22.28,17.90900855519264
100.0,1.0,1.0,1.68,250.0,2.7630241573375898,0.2,3.26,2.78,89.53,0.0,4.23,0.0900745875292054
100.0,1.0,1.0,1.68,275.0,4.40266107173201,0.32,4.97,3.92,83.2,0.0,7.59,0.21881225526508088
100.0,1.0,1.0,1.68,300.0,6.22356275018717,0.72,9.32,5.21,71.37,3.09,10.29,0.5800360483174444
100.0,1.0,1.0,1.68,350.0,16.1870321046694,2.11,22.88,6.07,47.39,4.74,16.81,3.703592945548359
100.0,1.0,1.0,1.68,400.0,45.1352390825493,8.1,38.7,7.12,24.22,4.34,17.52,17.46733752494658
10.0,1.0,1.0,1.68,250.0,0.394774301814516,0.31,2.85,18.98,76.81,0.0,1.05,0.011251067601713705
10.0,1.0,1.0,1.68,275.0,0.615197832146397,0.42,5.35,19.79,73.56,0.0,0.88,0.032913084019832235
10.0,1.0,1.0,1.68,300.0,1.1489484538059298,0.74,7.61,19.86,70.07,0.0,1.72,0.08743497733463126
10.0,1.0,1.0,1.68,325.0,3.28521284393757,1.16,7.74,16.61,67.57,3.77,3.15,0.25427547412076795
10.0,1.0,1.0,1.68,350.0,6.01029955582901,1.81,13.81,20.27,53.38,4.64,6.09,0.8300223686599864
10.0,1.0,1.0,1.68,400.0,21.1001303126785,3.79,21.21,19.72,39.51,4.88,10.89,4.47533763931911
25.0,1.0,1.0,1.68,250.0,0.543983713140717,0.1,6.62,6.91,82.18,4.19,0.0,0.036011721809915465
25.0,1.0,1.0,1.68,275.0,1.11315662843161,0.32,6.62,2.93,83.06,1.93,5.14,0.07369096880217259
25.0,1.0,1.0,1.68,300.0,3.01498497672866,0.31,5.05,8.47,78.11,4.04,4.02,0.15225674132479733
25.0,1.0,1.0,1.68,325.0,6.05517768940117,0.69,8.33,12.29,70.48,3.89,4.32,0.5043963015271175
25.0,1.0,1.0,1.68,350.0,9.64336126696237,0.76,13.1,14.26,59.75,3.89,8.24,1.2632803259720702
25.0,1.0,1.0,1.68,400.0,33.4895955281135,2.68,21.45,15.15,43.12,5.21,12.39,7.183518240780345
50.0,1.0,1.0,2.1,250.0,2.12124689485722,0.18,4.3,3.98,84.81,4.76,1.97,0.09121361647886043
50.0,1.0,1.0,2.1,275.0,3.83357052176252,0.35,5.06,7.67,78.13,4.22,4.57,0.1939786684011835
50.0,1.0,1.0,2.1,300.0,5.81212036583176,0.47,7.92,14.04,66.89,4.41,6.27,0.4603199329738754
50.0,1.0,1.0,2.1,325.0,9.784284968341801,0.77,11.69,14.62,59.29,5.28,8.35,1.1437829127991563
50.0,1.0,1.0,2.1,350.0,15.8632612859104,1.57,15.34,15.03,53.41,4.14,10.51,2.4334242812586555
50.0,1.0,1.0,2.1,400.0,44.981881550798796,3.93,25.83,13.82,36.87,6.16,13.39,11.618820004571328
75.0,1.0,1.0,1.68,250.0,2.7681694785164,0.23,4.5,1.97,85.16,4.87,3.27,0.12456762653323795
75.0,1.0,1.0,1.68,275.0,7.510252828902531,0.15,4.79,2.16,86.83,3.82,2.25,0.3597411105044312
75.0,1.0,1.0,1.68,300.0,12.6192375239931,0.5,8.77,4.81,74.9,5.05,5.97,1.1067071308541947
75.0,1.0,1.0,1.68,325.0,15.858964133078404,1.04,16.06,7.44,57.98,6.75,10.73,2.546949639772391
75.0,1.0,1.0,1.68,350.0,27.030963209106602,0.99,22.41,9.95,48.26,4.44,13.95,6.057638855160789
75.0,1.0,1.0,1.68,400.0,63.2452382390403,4.11,30.48,11.12,34.9,4.71,14.68,19.27714861525948
100.0,1.0,1.0,0.9,250.0,4.4,0.13,4.08,2.04,86.01,4.79,2.95,0.17952
100.0,1.0,1.0,0.9,275.0,7.9,0.15,6.62,3.49,79.79,5.67,4.28,0.52298
100.0,1.0,1.0,0.9,300.0,11.7,0.2,12.86,6.47,68.02,6.71,5.74,1.5046199999999998
100.0,1.0,1.0,0.9,325.0,17.8,1.42,18.45,7.94,59.12,7.14,5.93,3.2841000000000005
100.0,1.0,1.0,0.9,350.0,30.2,1.53,25.05,10.3,49.36,6.3,7.46,7.5651
100.0,1.0,1.0,0.9,400.0,69.4,2.51,38.17,13.96,26.64,4.71,14.01,26.48998000000001
